2026/04/30	諸口	該当なし EBフリコミ	-136512.0			対象外	2026/04			該当なし EBフリコミ		出金	該当なし EBフリコミ	該当なし EBフリコミ		136512.0	BANK_20260509_131438_1inRGmkY	20260430.1hori .xlsx.csv	2026-05-09 13:14:38
2026/04/30	諸口	該当なし カシツケリソク	-100684.0			対象外	2026/04			該当なし カシツケリソク		出金	該当なし カシツケリソク	該当なし カシツケリソク		100684.0	BANK_20260509_131438_1inRGmkY	20260430.1hori .xlsx.csv	2026-05-09 13:14:38
2026/04/30	諸口	該当なし EBフリコミ	-76933.0			対象外	2026/04			該当なし EBフリコミ		出金	該当なし EBフリコミ	該当なし EBフリコミ		76933.0	BANK_20260509_131438_1inRGmkY	20260430.1hori .xlsx.csv	2026-05-09 13:14:38
2026/04/30	諸口	該当なし EBフリコミ	-74933.0			対象外	2026/04			該当なし EBフリコミ		出金	該当なし EBフリコミ	該当なし EBフリコミ		74933.0	BANK_20260509_131438_1inRGmkY	20260430.1hori .xlsx.csv	2026-05-09 13:14:38
2026/04/30	諸口	該当なし 法人IB カ)ケ－ジ－エス	-66000.0			対象外	2026/04			該当なし 法人IB カ)ケ－ジ－エス		出金	該当なし 法人IB カ)ケ－ジ－エス	該当なし 法人IB カ)ケ－ジ－エス		66000.0	BANK_20260509_131438_1inRGmkY	20260430.1hori .xlsx.csv	2026-05-09 13:14:38
2026/04/30	諸口	該当なし B0430 ミツイスミト	-58020.0			対象外	2026/04			該当なし B0430 ミツイスミト		出金	該当なし B0430 ミツイスミト	該当なし B0430 ミツイスミト		58020.0	BANK_20260509_131438_1inRGmkY	20260430.1hori .xlsx.csv	2026-05-09 13:14:38
2026/04/30	諸口	該当なし 法人IB ギヨウセイシヨシホウジン	-45580.0			対象外	2026/04			該当なし 法人IB ギヨウセイシヨシホウジン		出金	該当なし 法人IB ギヨウセイシヨシホウジン	該当なし 法人IB ギヨウセイシヨシホウジン		45580.0	BANK_20260509_131438_1inRGmkY	20260430.1hori .xlsx.csv	2026-05-09 13:14:38
2026/04/30	諸口	該当なし EBフリコミ	-36300.0			対象外	2026/04			該当なし EBフリコミ		出金	該当なし EBフリコミ	該当なし EBフリコミ		36300.0	BANK_20260509_131438_1inRGmkY	20260430.1hori .xlsx.csv	2026-05-09 13:14:38
2026/04/30	支払利息	融資利息	-35945.0			対象外	2026/04			融資利息		出金	融資利息	融資利息		35945.0	BANK_20260509_131438_1inRGmkY	20260430.1hori .xlsx.csv	2026-05-09 13:14:38
2026/04/30	諸口	該当なし EBフリコミ	-35300.0			対象外	2026/04			該当なし EBフリコミ		出金	該当なし EBフリコミ	該当なし EBフリコミ		35300.0	BANK_20260509_131438_1inRGmkY	20260430.1hori .xlsx.csv	2026-05-09 13:14:38
2026/04/30	諸口	該当なし EBフリコミ	-27650.0			対象外	2026/04			該当なし EBフリコミ		出金	該当なし EBフリコミ	該当なし EBフリコミ		27650.0	BANK_20260509_131438_1inRGmkY	20260430.1hori .xlsx.csv	2026-05-09 13:14:38
2026/04/30	諸口	該当なし EBフリコミ	-20931.0			対象外	2026/04			該当なし EBフリコミ		出金	該当なし EBフリコミ	該当なし EBフリコミ		20931.0	BANK_20260509_131438_1inRGmkY	20260430.1hori .xlsx.csv	2026-05-09 13:14:38
2026/04/30	諸口	該当なし B0430 リコージヤ	-19300.0			対象外	2026/04			該当なし B0430 リコージヤ		出金	該当なし B0430 リコージヤ	該当なし B0430 リコージヤ		19300.0	BANK_20260509_131438_1inRGmkY	20260430.1hori .xlsx.csv	2026-05-09 13:14:38
2026/04/30	諸会費	福山商工会議所　会費	-15000.0			対象外	2026/04			福山商工会議所　会費		出金	福山商工会議所　会費	福山商工会議所　会費		15000.0	BANK_20260509_131438_1inRGmkY	20260430.1hori .xlsx.csv	2026-05-09 13:14:38
2026/04/30	諸口	該当なし B0430 (ド)コヤ	-13310.0			対象外	2026/04			該当なし B0430 (ド)コヤ		出金	該当なし B0430 (ド)コヤ	該当なし B0430 (ド)コヤ		13310.0	BANK_20260509_131438_1inRGmkY	20260430.1hori .xlsx.csv	2026-05-09 13:14:38
2026/04/30	諸口	該当なし EBフリコミ	-12000.0			対象外	2026/04			該当なし EBフリコミ		出金	該当なし EBフリコミ	該当なし EBフリコミ		12000.0	BANK_20260509_131438_1inRGmkY	20260430.1hori .xlsx.csv	2026-05-09 13:14:38
